Cell Line,count,mean,median
Primary Human Cells,22,5.459785461514599e-07,5.459785461514599e-07
PA-1,1,2.3341178894131787e-06,2.3341178894131787e-06
SKOV-3,9,3.049373626717866e-06,3.049373626717866e-06
U2OS(R),1,0.00047112464904786044,0.00047112464904786044
U937,2,0.0017382843017578198,0.0017382843017578198
RAW264.7,2,0.0017413370100911596,0.0017413370100911596
U2OS,6,0.0036765631039937428,0.004083821773529062
HeLa,2,0.005044304983956471,0.005044304983956471
SAOS2,1,0.006632218360900888,0.006632218360900888
HL-60,2,0.009994216734568295,0.009994216734568295
